timestamp,ctr,ax_g,ay_g,az_g
2026-02-17T20:05:55.545,26761,0.535,-0.886,0.704
2026-02-17T20:05:55.545,26762,0.691,-1.210,0.958
2026-02-17T20:05:55.545,26763,0.647,-1.360,1.092
2026-02-17T20:05:55.605,26765,0.024,-1.598,1.661
2026-02-17T20:05:55.606,26766,-0.973,-1.378,2.164
2026-02-17T20:05:55.606,26767,-1.627,-1.400,2.328
2026-02-17T20:05:55.665,26769,-1.976,-1.289,2.441
2026-02-17T20:05:55.666,26770,-0.460,-1.014,1.232
2026-02-17T20:05:55.666,26771,0.036,-0.827,0.749
2026-02-17T20:05:55.724,26773,0.393,-0.595,0.388
2026-02-17T20:05:55.725,26774,0.237,-0.919,0.870
2026-02-17T20:05:55.726,26775,0.144,-1.086,0.970
2026-02-17T20:05:55.785,26777,-0.060,-1.046,0.730
2026-02-17T20:05:55.786,26778,-0.240,-0.860,0.537
2026-02-17T20:05:55.786,26779,-0.218,-0.786,0.635
2026-02-17T20:05:55.844,26781,-0.004,-0.569,0.908
2026-02-17T20:05:55.846,26782,0.399,-0.234,1.193
2026-02-17T20:05:55.846,26783,0.428,-0.124,1.022
2026-02-17T20:05:55.904,26785,0.109,0.387,0.689
2026-02-17T20:05:55.905,26786,-0.348,0.772,0.568
2026-02-17T20:05:55.905,26787,-0.370,0.782,0.766
2026-02-17T20:05:55.964,26789,0.035,0.845,1.296
2026-02-17T20:05:55.965,26790,0.271,1.145,1.404
2026-02-17T20:05:55.965,26791,0.230,1.208,1.232
2026-02-17T20:05:56.024,26793,0.088,1.339,1.090
2026-02-17T20:05:56.025,26794,0.059,1.587,1.255
2026-02-17T20:05:56.025,26795,0.035,1.721,1.279
2026-02-17T20:05:56.084,26797,0.075,1.766,1.149
2026-02-17T20:05:56.086,26798,0.110,1.516,0.808
2026-02-17T20:05:56.086,26799,0.091,1.394,0.723
2026-02-17T20:05:56.145,26801,0.047,1.091,0.938
2026-02-17T20:05:56.145,26802,0.063,0.923,1.175
2026-02-17T20:05:56.146,26803,0.018,0.761,1.067
2026-02-17T20:05:56.205,26805,0.037,0.371,0.685
2026-02-17T20:05:56.205,26806,0.221,-0.201,0.350
2026-02-17T20:05:56.264,26807,0.305,-0.469,0.423
2026-02-17T20:05:56.264,26809,0.397,-0.996,0.770
2026-02-17T20:05:56.266,26810,0.670,-1.332,0.702
2026-02-17T20:05:56.325,26812,0.867,-1.841,0.631
2026-02-17T20:05:56.325,26813,-0.599,-1.828,2.070
2026-02-17T20:05:56.326,26814,-1.292,-1.633,2.336
2026-02-17T20:05:56.385,26816,-2.036,-1.382,2.565
2026-02-17T20:05:56.385,26817,-0.563,-0.987,1.476
2026-02-17T20:05:56.386,26818,0.035,-0.910,0.827
2026-02-17T20:05:56.445,26820,0.288,-0.811,0.267
2026-02-17T20:05:56.445,26821,0.127,-0.868,0.971
2026-02-17T20:05:56.445,26822,0.154,-0.880,1.093
2026-02-17T20:05:56.505,26824,0.005,-0.882,0.880
2026-02-17T20:05:56.505,26825,-0.114,-0.904,0.584
2026-02-17T20:05:56.507,26826,-0.167,-0.833,0.499
2026-02-17T20:05:56.565,26828,-0.142,-0.581,0.804
2026-02-17T20:05:56.566,26829,0.276,-0.158,1.098
2026-02-17T20:05:56.567,26830,0.315,0.018,0.892
2026-02-17T20:05:56.625,26832,0.012,0.471,0.905
2026-02-17T20:05:56.626,26833,-0.098,0.619,0.863
2026-02-17T20:05:56.626,26834,-0.058,0.635,0.941
2026-02-17T20:05:56.684,26836,0.146,0.716,1.091
2026-02-17T20:05:56.684,26837,0.171,0.770,1.284
2026-02-17T20:05:56.686,26838,0.178,0.896,1.313
2026-02-17T20:05:56.745,26840,0.205,1.083,1.336
2026-02-17T20:05:56.746,26841,0.113,1.184,1.228
2026-02-17T20:05:56.746,26842,0.095,1.196,1.189
2026-02-17T20:05:56.804,26844,0.159,1.136,1.185
2026-02-17T20:05:56.805,26845,0.206,1.032,1.138
2026-02-17T20:05:56.806,26846,0.158,1.010,1.045
2026-02-17T20:05:56.865,26848,0.127,1.010,0.986
2026-02-17T20:05:56.865,26849,0.141,0.969,0.963
2026-02-17T20:05:56.867,26850,0.149,0.884,0.944
2026-02-17T20:05:56.924,26852,0.114,0.699,0.937
2026-02-17T20:05:56.925,26853,0.054,0.416,1.045
2026-02-17T20:05:56.926,26854,0.057,0.309,0.986
2026-02-17T20:05:56.984,26856,0.358,-0.040,0.668
2026-02-17T20:05:56.986,26857,0.577,-0.651,0.420
2026-02-17T20:05:56.986,26858,0.656,-0.982,0.423
2026-02-17T20:05:57.045,26860,0.745,-1.465,0.406
2026-02-17T20:05:57.046,26861,0.574,-1.913,0.803
2026-02-17T20:05:57.046,26862,0.104,-1.898,1.358
2026-02-17T20:05:57.105,26864,-1.498,-1.357,2.786
2026-02-17T20:05:57.105,26865,-2.682,-1.721,2.785
2026-02-17T20:05:57.106,26866,-2.218,-1.506,2.443
2026-02-17T20:05:57.165,26868,-0.366,-1.061,1.341
2026-02-17T20:05:57.165,26869,0.400,-0.804,0.940
2026-02-17T20:05:57.166,26870,0.379,-0.774,0.998
2026-02-17T20:05:57.225,26872,0.287,-0.792,1.012
2026-02-17T20:05:57.226,26873,0.205,-0.817,0.815
2026-02-17T20:05:57.227,26874,0.207,-0.770,0.731
2026-02-17T20:05:57.285,26876,0.168,-0.681,0.583
2026-02-17T20:05:57.285,26877,-0.091,-0.361,0.675
2026-02-17T20:05:57.286,26878,-0.053,-0.119,0.780
2026-02-17T20:05:57.345,26880,-0.237,0.197,0.853
2026-02-17T20:05:57.345,26881,-0.138,0.311,1.057
2026-02-17T20:05:57.347,26882,0.066,0.378,1.059
2026-02-17T20:05:57.405,26884,0.253,0.850,0.895
2026-02-17T20:05:57.406,26885,-0.191,1.001,0.613
2026-02-17T20:05:57.406,26886,-0.261,1.003,0.677
2026-02-17T20:05:57.465,26888,-0.317,1.033,0.956
2026-02-17T20:05:57.466,26889,-0.065,1.017,1.419
2026-02-17T20:05:57.466,26890,0.091,1.058,1.505
2026-02-17T20:05:57.525,26892,0.274,1.120,1.386
2026-02-17T20:05:57.525,26893,0.202,1.107,1.150
2026-02-17T20:05:57.526,26894,0.117,1.061,1.025
2026-02-17T20:05:57.585,26896,0.018,0.909,1.032
2026-02-17T20:05:57.586,26897,-0.056,0.873,1.300
2026-02-17T20:05:57.586,26898,-0.041,0.920,1.338
2026-02-17T20:05:57.644,26900,-0.100,0.873,1.137
2026-02-17T20:05:57.646,26901,-0.040,0.685,0.888
2026-02-17T20:05:57.646,26902,0.058,0.589,0.870
2026-02-17T20:05:57.705,26904,0.199,0.408,0.783
2026-02-17T20:05:57.705,26905,0.209,0.145,0.580
2026-02-17T20:05:57.706,26906,0.175,-0.033,0.523
2026-02-17T20:05:57.765,26908,0.398,-0.574,0.498
2026-02-17T20:05:57.766,26909,0.693,-1.306,0.479
2026-02-17T20:05:57.824,26910,0.864,-1.417,0.509
2026-02-17T20:05:57.826,26912,0.739,-1.664,0.740
2026-02-17T20:05:57.826,26913,-0.880,-1.754,2.028
2026-02-17T20:05:57.827,26914,-2.031,-1.996,2.485
2026-02-17T20:05:57.885,26916,-2.300,-1.742,2.351
2026-02-17T20:05:57.886,26917,-0.979,-1.388,1.346
2026-02-17T20:05:57.886,26918,-0.311,-1.234,0.777
2026-02-17T20:05:57.945,26920,0.046,-0.948,0.319
2026-02-17T20:05:57.946,26921,0.135,-0.866,0.899
2026-02-17T20:05:57.946,26922,0.198,-0.835,1.092
2026-02-17T20:05:58.005,26924,0.078,-0.813,1.311
2026-02-17T20:05:58.006,26925,0.020,-0.376,1.152
2026-02-17T20:05:58.006,26926,-0.011,-0.158,0.891
2026-02-17T20:05:58.065,26928,0.068,-0.047,0.666
2026-02-17T20:05:58.065,26929,0.383,0.125,0.951
2026-02-17T20:05:58.066,26930,0.244,0.127,1.114
2026-02-17T20:05:58.125,26932,-0.036,0.407,1.232
2026-02-17T20:05:58.125,26933,-0.218,0.524,1.035
2026-02-17T20:05:58.125,26934,-0.277,0.646,0.943
2026-02-17T20:05:58.185,26936,-0.210,0.728,0.799
2026-02-17T20:05:58.186,26937,-0.012,0.878,0.699
2026-02-17T20:05:58.186,26938,0.072,0.977,0.746
2026-02-17T20:05:58.245,26940,0.083,1.066,0.874
2026-02-17T20:05:58.245,26941,0.089,1.284,1.207
2026-02-17T20:05:58.246,26942,0.127,1.395,1.244
2026-02-17T20:05:58.305,26944,0.207,1.331,1.067
2026-02-17T20:05:58.305,26945,0.263,1.135,0.787
2026-02-17T20:05:58.306,26946,0.223,1.048,0.687
2026-02-17T20:05:58.364,26948,0.116,0.915,0.663
2026-02-17T20:05:58.365,26949,0.056,0.863,0.815
